x_tag,y_tag,doa_12,doa_23,D_phi_12,D_phi_23
-21.5,63.5,17.4042222279007,2.99347459722122,53.84,9.40000000000001
-6.5,63.5,7.54664733736543,5.77116272386298,23.64,341.9
-6,82,1.22765601023697,6.04432307741583,3.85649999999998,341.0464
4,82,3.08495821787469,10.7774675221901,350.313,326.3409
14,82,8.28365383062734,18.7506710378086,334.0667,302.1389
24,82,13.5989912080176,26.9795708853961,317.6775,278.3389
-6,88,2.3489573035212,10.0094795505831,7.37740000000002,328.714
4,88,1.72024590748164,15.2105382332883,354.5965,312.774
14,88,6.75697753026363,21.0500502028935,338.8215,295.347
5,64,0.744706946679824,14.4844160231148,357.6605,314.979
15,64,6.83214915388213,21.7481703820352,338.587,293.305
25,64,18.8084652344253,32.1138873220068,301.967,264.3113
-5,50,4.47728665105171,16.6588645303522,14.0515,308.3989
5,50,6.38529566588407,26.5661732086062,339.9815,279.4984
15,50,18.9862423772404,34.5773136020433,301.4386,257.8468
25,50,29.7677940113303,35.0183982307014,270.6325,256.7089
-10.5,66.5,10.1448442009771,6.22875830111818,31.7047,340.4703
9.5,66.5,11.0232771175781,23.3934379259067,325.5826,288.5323
