x_tag,y_tag,doa_12,doa_23,D_phi_12,D_phi_23
-7,98.5,4.10802927204041,6.19856429429735,12.8947,340.5646
3,98.5,2.74621949952279,12.4602164397142,351.3758,321.1629
13,98.5,9.56501520759142,19.128021283531,330.09,301.0176
23,98.5,15.3083661552507,24.6014904581754,312.4775,285.0652
-9.05,119,5.46596481854367,5.37998645561102,17.1458,343.1231
0.950000000000001,119,0.718667074480485,8.88586598782096,357.7423,332.196
10.95,119,6.32146446954253,11.6024287262328,340.1808,323.7985
20.95,119,10.3216125218458,13.5694861007106,327.7488,317.7676
-22.5,78,16.3273596939501,4.50423473705037,50.6025,14.1359
-12.5,78,9.09260106897421,3.02789958034237,28.4455,350.492
-2.5,78,2.56557550948101,12.1561159549782,8.0573,322.0963
7.5,78,7.05497711753091,17.8574594309839,337.8921,304.803
-34,70,27.3023571033621,18.3936845288071,82.5635,56.798
-24,70,20.533365272293,8.2293603726946,63.1355,25.7645
-14,70,13.9160526363472,2.02327980563637,43.29,353.645
-4,70,3.32460671971795,11.2703633939785,10.4387,324.821
-26.5,62.5,21.1798842696012,9.31055146562725,65.0335,29.1214
-16.5,62.5,18.6866128720772,0.0489878974522564,57.6704999999999,359.8461
-6.5,62.5,8.77624560177607,7.53271220833186,27.4637,336.4034
3.5,62.5,4.95279697206353,11.5205858773032,344.4597,324.0504
-26.5,62.5,20.7459539028095,9.41559261898372,63.7605,29.447
-16.5,62.5,17.4032214851405,0.163165868199782,53.837,359.4874
-6.5,62.5,7.30470793484768,7.32515065184004,22.8863,337.05
3.5,62.5,5.42286219672002,10.8200798843878,342.989,326.2094
